종목명,주가 (₩),52주 최고가 (₩),시가총액 (₩),산업군,거래량 (주)
에코테크,35200,45000,5200000000000,환경기술,1500000
파워블룸,12500,15000,800000000000,에너지,3200000
그린웨이브,22750,30000,2500000000000,재생에너지,750000
네오솔루션,8600,10500,450000000000,IT,2100000
바이오젠,55300,60000,15000000000000,바이오테크,900000
퓨처모빌,4950,6200,300000000000,자동차,5500000
텔레콤브,18400,20500,4800000000000,통신,1800000
헬스케어24,9750,11000,600000000000,헬스케어,3750000
로보스마트,27500,35000,7500000000000,로봇공학,1200000
클라우드X,16800,19500,3200000000000,클라우드 서비스,2900000
에듀테크,5300,6800,250000000000,교육기술,4000000
퀀텀코어,48500,55000,10000000000000,반도체,800000
뉴에너지,13200,16000,1000000000000,에너지,2500000
스마트홈,7850,9500,500000000000,스마트 홈 기술,3300000
드론테크,29600,35500,6000000000000,드론 기술,1000000
모바일팜,3400,4200,150000000000,모바일 기술,6000000
친환경,21100,25000,8000000000000,환경기술,1700000
인공지능,19750,23000,5500000000000,인공지능,2400000
빅데이터,11300,13500,900000000000,데이터 분석,3100000
로지스틱스,14600,17000,2200000000000,물류,1900000
스마트시티,6500,8000,350000000000,스마트 시티,4500000